cell_key,kernel_id,case_id,shape_and_dtype_json,baseline_origin,baseline_heuristic_name,post_heuristic_name,raw_default_normalized,post_heuristic_normalized,pretuned_reference_normalized,pretuned_reference_vs_post_heuristic,raw_default_latency_us,post_heuristic_latency_us,pretuned_reference_latency_us
on::helion.linear_attention_engine.chunk_bwd_dv_helion::chunk_bwd_dv_helion#0:B8_T1024_H8_D64,helion.linear_attention_engine.chunk_bwd_dv_helion,chunk_bwd_dv_helion#0:B8_T1024_H8_D64,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[1024,64,64],""stride"":[4096,64,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[1024,64,64],""stride"":[4096,64,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[1024,64,64],""stride"":[4096,64,1]},{""arg"":3,""literal"":null},{""arg"":4,""dtype"":""torch.bfloat16"",""shape"":[1024,64,64],""stride"":[4096,64,1]},{""arg"":5,""dtype"":""torch.float32"",""shape"":[1024,64,64],""stride"":[4096,64,1]},{""arg"":6,""literal"":null},{""arg"":7,""literal"":null},{""arg"":8,""literal"":false},{""arg"":9,""literal"":false},{""arg"":10,""literal"":false},{""arg"":11,""literal"":0.125}]",default_config,,triton_b200_multi_matmul,1.0,1.4712041824185436,2.2160883221384577,1.5063091504371495,44.95999962091446,30.559999868273735,20.287999883294106
on::helion.linear_attention_engine.chunk_bwd_dv_helion::chunk_bwd_dv_helion#7:B4_T2048_H16_D128,helion.linear_attention_engine.chunk_bwd_dv_helion,chunk_bwd_dv_helion#7:B4_T2048_H16_D128,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[2048,64,128],""stride"":[8192,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[2048,64,128],""stride"":[8192,128,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[2048,64,128],""stride"":[8192,128,1]},{""arg"":3,""dtype"":""torch.float32"",""shape"":[2048,64,128],""stride"":[8192,128,1]},{""arg"":4,""dtype"":""torch.bfloat16"",""shape"":[2048,64,128],""stride"":[8192,128,1]},{""arg"":5,""dtype"":""torch.float32"",""shape"":[2048,128,128],""stride"":[16384,128,1]},{""arg"":6,""literal"":null},{""arg"":7,""dtype"":""torch.bfloat16"",""shape"":[2048,64,64],""stride"":[4096,64,1]},{""arg"":8,""literal"":true},{""arg"":9,""literal"":false},{""arg"":10,""literal"":true},{""arg"":11,""literal"":0.08838834764831843}]",default_config,,triton_b200_multi_matmul,1.0,3.6582609069765675,3.6534954419586487,0.998697341403717,269.24800872802734,73.60000163316727,73.69600236415863
on::helion.linear_attention_engine.chunk_bwd_dv_helion::chunk_bwd_dv_helion#14:B2_T16384_H16_D128,helion.linear_attention_engine.chunk_bwd_dv_helion,chunk_bwd_dv_helion#14:B2_T16384_H16_D128,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[8192,64,128],""stride"":[8192,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[8192,64,128],""stride"":[8192,128,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[8192,64,128],""stride"":[8192,128,1]},{""arg"":3,""dtype"":""torch.float32"",""shape"":[8192,64],""stride"":[64,1]},{""arg"":4,""dtype"":""torch.bfloat16"",""shape"":[8192,64,128],""stride"":[8192,128,1]},{""arg"":5,""dtype"":""torch.float32"",""shape"":[8192,128,128],""stride"":[16384,128,1]},{""arg"":6,""dtype"":""torch.float32"",""shape"":[8192],""stride"":[1]},{""arg"":7,""literal"":null},{""arg"":8,""literal"":true},{""arg"":9,""literal"":true},{""arg"":10,""literal"":false},{""arg"":11,""literal"":0.08838834764831843}]",default_config,,triton_b200_multi_matmul,1.0,3.2682257976693045,3.628427582298184,1.110213249306628,876.5119910240173,268.19199323654175,241.56799912452698
on::helion.linear_attention_engine.chunk_bwd_dv_helion::chunk_bwd_dv_helion#3:B8_T2048_H32_D256,helion.linear_attention_engine.chunk_bwd_dv_helion,chunk_bwd_dv_helion#3:B8_T2048_H32_D256,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[8192,64,256],""stride"":[16384,256,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[8192,64,256],""stride"":[16384,256,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[8192,64,256],""stride"":[16384,256,1]},{""arg"":3,""literal"":null},{""arg"":4,""dtype"":""torch.bfloat16"",""shape"":[8192,64,256],""stride"":[16384,256,1]},{""arg"":5,""dtype"":""torch.float32"",""shape"":[8192,256,256],""stride"":[65536,256,1]},{""arg"":6,""literal"":null},{""arg"":7,""literal"":null},{""arg"":8,""literal"":false},{""arg"":9,""literal"":false},{""arg"":10,""literal"":false},{""arg"":11,""literal"":0.0625}]",default_config,,triton_b200_multi_matmul,1.0,3.561265015516256,5.775431958317148,1.6217360778133263,3974.1439819335938,1115.936040878296,688.1119906902313
on::helion.linear_attention_engine.chunk_bwd_dv_helion::chunk_bwd_dv_helion#10:B1_T8192_H96_D128,helion.linear_attention_engine.chunk_bwd_dv_helion,chunk_bwd_dv_helion#10:B1_T8192_H96_D128,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[12288,64,128],""stride"":[8192,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[12288,64,128],""stride"":[8192,128,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[12288,64,128],""stride"":[8192,128,1]},{""arg"":3,""dtype"":""torch.float32"",""shape"":[12288,64,128],""stride"":[8192,128,1]},{""arg"":4,""dtype"":""torch.bfloat16"",""shape"":[12288,64,128],""stride"":[8192,128,1]},{""arg"":5,""dtype"":""torch.float32"",""shape"":[12288,128,128],""stride"":[16384,128,1]},{""arg"":6,""literal"":null},{""arg"":7,""dtype"":""torch.bfloat16"",""shape"":[12288,64,64],""stride"":[4096,64,1]},{""arg"":8,""literal"":true},{""arg"":9,""literal"":false},{""arg"":10,""literal"":true},{""arg"":11,""literal"":0.08838834764831843}]",default_config,,triton_b200_multi_matmul,1.0,4.475862796628978,4.476695405189431,1.0001860219131562,1539.8399829864502,344.0319895744324,343.968003988266
on::helion.linear_attention_engine.chunk_bwd_gram2_kda_helion::chunk_bwd_gram2_kda_helion#0:B8_T1024_H8_D64,helion.linear_attention_engine.chunk_bwd_gram2_kda_helion,chunk_bwd_gram2_kda_helion#0:B8_T1024_H8_D64,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[1024,64,64],""stride"":[4096,64,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[1024,64,64],""stride"":[4096,64,1]},{""arg"":2,""dtype"":""torch.float32"",""shape"":[1024,64,64],""stride"":[4096,64,1]},{""arg"":3,""dtype"":""torch.float32"",""shape"":[1024,64,64],""stride"":[4096,64,1]},{""arg"":4,""dtype"":""torch.float32"",""shape"":[1024,64,64],""stride"":[4096,64,1]},{""arg"":5,""literal"":1.0}]",default_config,,triton_b200_multi_matmul,1.0,1.0500520925167953,1.1053786753329418,1.052689369613595,128.89599800109863,122.75200337171555,116.60800129175186
on::helion.linear_attention_engine.chunk_bwd_gram2_kda_helion::chunk_bwd_gram2_kda_helion#1:B4_T2048_H16_D128,helion.linear_attention_engine.chunk_bwd_gram2_kda_helion,chunk_bwd_gram2_kda_helion#1:B4_T2048_H16_D128,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[2048,64,128],""stride"":[8192,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[2048,64,128],""stride"":[8192,128,1]},{""arg"":2,""dtype"":""torch.float32"",""shape"":[2048,64,128],""stride"":[8192,128,1]},{""arg"":3,""dtype"":""torch.float32"",""shape"":[2048,64,64],""stride"":[4096,64,1]},{""arg"":4,""dtype"":""torch.float32"",""shape"":[2048,64,64],""stride"":[4096,64,1]},{""arg"":5,""literal"":1.0}]",default_config,,triton_b200_multi_matmul,1.0,1.045858053185647,1.248465748766651,1.1937238949051145,488.24000358581543,466.8319970369339,391.07200503349304
on::helion.linear_attention_engine.chunk_bwd_gram2_kda_helion::chunk_bwd_gram2_kda_helion#2:B2_T16384_H16_D128,helion.linear_attention_engine.chunk_bwd_gram2_kda_helion,chunk_bwd_gram2_kda_helion#2:B2_T16384_H16_D128,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[8192,64,128],""stride"":[8192,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[8192,64,128],""stride"":[8192,128,1]},{""arg"":2,""dtype"":""torch.float32"",""shape"":[8192,64,128],""stride"":[8192,128,1]},{""arg"":3,""dtype"":""torch.float32"",""shape"":[8192,64,64],""stride"":[4096,64,1]},{""arg"":4,""dtype"":""torch.float32"",""shape"":[8192,64,64],""stride"":[4096,64,1]},{""arg"":5,""literal"":1.0}]",default_config,,triton_b200_multi_matmul,1.0,1.055692092827412,1.2804912233832706,1.2129400533386485,1890.1280164718628,1790.4160022735596,1476.0960340499878
on::helion.linear_attention_engine.chunk_bwd_gram2_kda_helion::chunk_bwd_gram2_kda_helion#3:B8_T2048_H32_D256,helion.linear_attention_engine.chunk_bwd_gram2_kda_helion,chunk_bwd_gram2_kda_helion#3:B8_T2048_H32_D256,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[8192,64,256],""stride"":[16384,256,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[8192,64,256],""stride"":[16384,256,1]},{""arg"":2,""dtype"":""torch.float32"",""shape"":[8192,64,256],""stride"":[16384,256,1]},{""arg"":3,""dtype"":""torch.float32"",""shape"":[8192,64,64],""stride"":[4096,64,1]},{""arg"":4,""dtype"":""torch.float32"",""shape"":[8192,64,64],""stride"":[4096,64,1]},{""arg"":5,""literal"":1.0}]",default_config,,triton_b200_multi_matmul,1.0,1.0788703190377689,1.3134170815585953,1.2174003291980593,3843.9199924468994,3562.9119873046875,2926.6560077667236
on::helion.linear_attention_engine.chunk_bwd_gram2_kda_helion::chunk_bwd_gram2_kda_helion#4:B1_T8192_H96_D128,helion.linear_attention_engine.chunk_bwd_gram2_kda_helion,chunk_bwd_gram2_kda_helion#4:B1_T8192_H96_D128,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[12288,64,128],""stride"":[8192,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[12288,64,128],""stride"":[8192,128,1]},{""arg"":2,""dtype"":""torch.float32"",""shape"":[12288,64,128],""stride"":[8192,128,1]},{""arg"":3,""dtype"":""torch.float32"",""shape"":[12288,64,64],""stride"":[4096,64,1]},{""arg"":4,""dtype"":""torch.float32"",""shape"":[12288,64,64],""stride"":[4096,64,1]},{""arg"":5,""literal"":1.0}]",default_config,,triton_b200_multi_matmul,1.0,1.0937749822402731,1.2803300537577669,1.170560741054244,2805.6640625,2565.119981765747,2191.3599967956543
on::helion.linear_attention_engine.chunk_bwd_o_kda_helion::chunk_bwd_o_kda_helion#0:B8_T1024_H8_D64,helion.linear_attention_engine.chunk_bwd_o_kda_helion,chunk_bwd_o_kda_helion#0:B8_T1024_H8_D64,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[1024,64,64],""stride"":[4096,64,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[1024,64,64],""stride"":[4096,64,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[1024,64,64],""stride"":[4096,64,1]},{""arg"":3,""dtype"":""torch.bfloat16"",""shape"":[1024,64,64],""stride"":[4096,64,1]},{""arg"":4,""dtype"":""torch.float32"",""shape"":[1024,64,64],""stride"":[4096,64,1]},{""arg"":5,""dtype"":""torch.bfloat16"",""shape"":[1024,64,64],""stride"":[4096,64,1]},{""arg"":6,""literal"":0.125}]",default_config,,triton_b200_multi_matmul,1.0,1.4562277557661214,1.6839505245444208,1.156378538917832,65.47199934720993,44.95999962091446,38.88000175356865
on::helion.linear_attention_engine.chunk_bwd_o_kda_helion::chunk_bwd_o_kda_helion#1:B4_T2048_H16_D128,helion.linear_attention_engine.chunk_bwd_o_kda_helion,chunk_bwd_o_kda_helion#1:B4_T2048_H16_D128,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[2048,64,128],""stride"":[8192,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[2048,64,128],""stride"":[8192,128,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[2048,128,128],""stride"":[16384,128,1]},{""arg"":3,""dtype"":""torch.bfloat16"",""shape"":[2048,64,64],""stride"":[4096,64,1]},{""arg"":4,""dtype"":""torch.float32"",""shape"":[2048,64,128],""stride"":[8192,128,1]},{""arg"":5,""dtype"":""torch.bfloat16"",""shape"":[2048,64,128],""stride"":[8192,128,1]},{""arg"":6,""literal"":0.08838834764831843}]",default_config,,triton_b200_multi_matmul,1.0,2.024482120623288,2.1543086782003225,1.064128280637551,343.9999967813492,169.91999745368958,159.67999398708344
