cell_key,kernel_id,case_id,shape_and_dtype_json,baseline_origin,baseline_heuristic_name,post_heuristic_name,pre_change_selected_default_normalized,post_heuristic_normalized,quick_autotune_normalized,quick_autotune_vs_post_heuristic,pre_change_selected_default_latency_us,post_heuristic_latency_us,quick_autotune_latency_us
off::off.attention.blackwell_backward::blackwell_attention_backward_b1_h8_s256_d64_f16,off.attention.blackwell_backward,blackwell_attention_backward_b1_h8_s256_d64_f16,"[{""arg"":0,""dtype"":""torch.float16"",""shape"":[1,8,256,64],""stride"":[131072,16384,64,1]},{""arg"":1,""dtype"":""torch.float16"",""shape"":[1,8,256,64],""stride"":[131072,16384,64,1]},{""arg"":2,""dtype"":""torch.float16"",""shape"":[1,8,256,64],""stride"":[131072,16384,64,1]},{""arg"":3,""dtype"":""torch.float16"",""shape"":[1,8,256,64],""stride"":[131072,16384,64,1]},{""arg"":4,""dtype"":""torch.float32"",""shape"":[1,8,256],""stride"":[2048,256,1]},{""arg"":5,""dtype"":""torch.float16"",""shape"":[1,8,256,64],""stride"":[131072,16384,64,1]},{""arg"":6,""dtype"":""torch.float32"",""shape"":[1,8,256],""stride"":[2048,256,1]},{""arg"":7,""literal"":0.125}]",default_config,,triton_b200_multi_matmul,1.0,1.8651684320373911,1.4561403723758684,0.7807018108199877,26.559999212622643,14.240000396966934,18.239999189972878
off::off.attention.blackwell_backward::blackwell_attention_backward_b2_h16_s512_d128_bf16,off.attention.blackwell_backward,blackwell_attention_backward_b2_h16_s512_d128_bf16,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[2,16,512,128],""stride"":[1048576,65536,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[2,16,512,128],""stride"":[1048576,65536,128,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[2,16,512,128],""stride"":[1048576,65536,128,1]},{""arg"":3,""dtype"":""torch.bfloat16"",""shape"":[2,16,512,128],""stride"":[1048576,65536,128,1]},{""arg"":4,""dtype"":""torch.float32"",""shape"":[2,16,512],""stride"":[8192,512,1]},{""arg"":5,""dtype"":""torch.bfloat16"",""shape"":[2,16,512,128],""stride"":[1048576,65536,128,1]},{""arg"":6,""dtype"":""torch.float32"",""shape"":[2,16,512],""stride"":[8192,512,1]},{""arg"":7,""literal"":0.08838834764831845}]",default_config,,triton_b200_multi_matmul,1.0,2.1993750679847306,2.1993750679847306,1.0,112.60800063610077,51.19999870657921,51.19999870657921
off::off.attention.blackwell_backward::blackwell_attention_backward_b2_h32_s1024_d64_f16,off.attention.blackwell_backward,blackwell_attention_backward_b2_h32_s1024_d64_f16,"[{""arg"":0,""dtype"":""torch.float16"",""shape"":[2,32,1024,64],""stride"":[2097152,65536,64,1]},{""arg"":1,""dtype"":""torch.float16"",""shape"":[2,32,1024,64],""stride"":[2097152,65536,64,1]},{""arg"":2,""dtype"":""torch.float16"",""shape"":[2,32,1024,64],""stride"":[2097152,65536,64,1]},{""arg"":3,""dtype"":""torch.float16"",""shape"":[2,32,1024,64],""stride"":[2097152,65536,64,1]},{""arg"":4,""dtype"":""torch.float32"",""shape"":[2,32,1024],""stride"":[32768,1024,1]},{""arg"":5,""dtype"":""torch.float16"",""shape"":[2,32,1024,64],""stride"":[2097152,65536,64,1]},{""arg"":6,""dtype"":""torch.float32"",""shape"":[2,32,1024],""stride"":[32768,1024,1]},{""arg"":7,""literal"":0.125}]",default_config,,triton_b200_multi_matmul,1.0,1.8477867640624424,1.8282317949907676,0.9894170856442968,359.3280017375946,194.46399807929993,196.54400646686554
off::off.attention.blackwell_backward::blackwell_attention_backward_b4_h32_s2048_d128_bf16,off.attention.blackwell_backward,blackwell_attention_backward_b4_h32_s2048_d128_bf16,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[4,32,2048,128],""stride"":[8388608,262144,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[4,32,2048,128],""stride"":[8388608,262144,128,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[4,32,2048,128],""stride"":[8388608,262144,128,1]},{""arg"":3,""dtype"":""torch.bfloat16"",""shape"":[4,32,2048,128],""stride"":[8388608,262144,128,1]},{""arg"":4,""dtype"":""torch.float32"",""shape"":[4,32,2048],""stride"":[65536,2048,1]},{""arg"":5,""dtype"":""torch.bfloat16"",""shape"":[4,32,2048,128],""stride"":[8388608,262144,128,1]},{""arg"":6,""dtype"":""torch.float32"",""shape"":[4,32,2048],""stride"":[65536,2048,1]},{""arg"":7,""literal"":0.08838834764831845}]",default_config,,triton_b200_multi_matmul,1.0,2.4120835163442726,1.948181256736586,0.8076757058931475,5055.919885635376,2096.07994556427,2595.199942588806
off::off.attention.blackwell_backward::blackwell_attention_backward_b1_h16_s4096_d128_bf16,off.attention.blackwell_backward,blackwell_attention_backward_b1_h16_s4096_d128_bf16,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[1,16,4096,128],""stride"":[8388608,524288,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[1,16,4096,128],""stride"":[8388608,524288,128,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[1,16,4096,128],""stride"":[8388608,524288,128,1]},{""arg"":3,""dtype"":""torch.bfloat16"",""shape"":[1,16,4096,128],""stride"":[8388608,524288,128,1]},{""arg"":4,""dtype"":""torch.float32"",""shape"":[1,16,4096],""stride"":[65536,4096,1]},{""arg"":5,""dtype"":""torch.bfloat16"",""shape"":[1,16,4096,128],""stride"":[8388608,524288,128,1]},{""arg"":6,""dtype"":""torch.float32"",""shape"":[1,16,4096],""stride"":[65536,4096,1]},{""arg"":7,""literal"":0.08838834764831845}]",default_config,,triton_b200_multi_matmul,1.0,2.1654954656813192,1.9008045759620469,0.8777689014296809,2544.1280603408813,1174.8480200767517,1338.4479880332947
off::off.attention.blackwell_forward::blackwell_attention_b1_h8_s512_d64_f16,off.attention.blackwell_forward,blackwell_attention_b1_h8_s512_d64_f16,"[{""arg"":0,""dtype"":""torch.float16"",""shape"":[1,8,512,64],""stride"":[262144,32768,64,1]},{""arg"":1,""dtype"":""torch.float16"",""shape"":[1,8,512,64],""stride"":[262144,32768,64,1]},{""arg"":2,""dtype"":""torch.float16"",""shape"":[1,8,512,64],""stride"":[262144,32768,64,1]},{""arg"":3,""literal"":0.125}]",default_config,,triton_b200_multi_matmul,1.0,1.8802082338573538,2.820312350786031,1.5,34.65599939227104,18.432000651955605,12.28800043463707
off::off.attention.blackwell_forward::blackwell_attention_b2_h16_s1024_d128_bf16,off.attention.blackwell_forward,blackwell_attention_b2_h16_s1024_d128_bf16,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[2,16,1024,128],""stride"":[2097152,131072,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[2,16,1024,128],""stride"":[2097152,131072,128,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[2,16,1024,128],""stride"":[2097152,131072,128,1]},{""arg"":3,""literal"":0.08838834764831845}]",default_config,,triton_b200_multi_matmul,1.0,2.5161289792594133,3.1180511740241856,1.2392254927018644,159.743994474411,63.48799914121628,51.231998950242996
off::off.attention.blackwell_forward::blackwell_attention_b4_h32_s2048_d64_bf16,off.attention.blackwell_forward,blackwell_attention_b4_h32_s2048_d64_bf16,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[4,32,2048,64],""stride"":[4194304,131072,64,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[4,32,2048,64],""stride"":[4194304,131072,64,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[4,32,2048,64],""stride"":[4194304,131072,64,1]},{""arg"":3,""literal"":0.125}]",default_config,,triton_b200_multi_matmul,1.0,4.831191338106869,4.939860287277794,1.022493199206121,1335.263967514038,276.38399600982666,270.30399441719055
off::off.attention.blackwell_forward::blackwell_attention_b4_h32_s4096_d128_bf16,off.attention.blackwell_forward,blackwell_attention_b4_h32_s4096_d128_bf16,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[4,32,4096,128],""stride"":[16777216,524288,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[4,32,4096,128],""stride"":[16777216,524288,128,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[4,32,4096,128],""stride"":[16777216,524288,128,1]},{""arg"":3,""literal"":0.08838834764831845}]",default_config,,triton_b200_multi_matmul,1.0,4.878055893880457,2.896023920721142,0.5936840380107611,8166.880130767822,1674.2079854011536,2820.032000541687
off::off.attention.blackwell_forward::blackwell_attention_b1_h16_s8192_d128_bf16,off.attention.blackwell_forward,blackwell_attention_b1_h16_s8192_d128_bf16,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[1,16,8192,128],""stride"":[16777216,1048576,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[1,16,8192,128],""stride"":[16777216,1048576,128,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[1,16,8192,128],""stride"":[16777216,1048576,128,1]},{""arg"":3,""literal"":0.08838834764831845}]",default_config,,triton_b200_multi_matmul,1.0,4.449573528990266,3.3213569392752844,0.7464438822362812,4191.711902618408,942.0480132102966,1262.0480060577393
